Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
"Sarah","Alex G","Trick","favs","Playlist","GBJET1400060","97334296"
"DISKO","Ba$ha","DISKO","favs","Playlist","QZFYY2256119","1615276102"
"Papuče","Podočnjaci","Papuče","favs","Playlist","GBMA22126460","1247593852"
"Apocalypse Dreams","Tame Impala","Lonerism","favs","Playlist","AUUM71200489","60765503"
"Garava","Devito","Plava Krv","favs","Playlist","RSA222305645","2293688605"
"The Fire Is Gone (For Piano, Saxophone and Trumpet)","Heaven Pierce Her","Ultrakill: Infinite Hyperdeath (Original Game Soundtrack)","favs","Playlist","TCAHE2308248","2321961665"
"soso","Omah Lay","Boy Alone","favs","Playlist","USWB12201878","1807498027"
"Tea Errors","Jack Stauber's Micropop","Baby Hotline / Tea Errors","favs","Playlist","QZES51978189","649627162"
"From The Start","Laufey","From The Start","favs","Playlist","QM6N22309399","2238153377"
"Preko","Pseća Plaža","Povratak u lagunu br. 07","favs","Playlist","FR59R1959318","707801102"
"Out of Tune","BoyWithUke","Fever Dreams","favs","Playlist","TCAFM2110469","1365173632"
"Cigarette Daydreams (Unpeeled)","Cage The Elephant","Unpeeled","favs","Playlist","USRC11701306","384171431"
"Puppy Princess","Hot Freaks","Puppy Princess","favs","Playlist","USHM81375767","1477649572"
"Adrenalin","z++","18++","favs","Playlist","FR10S2067102","887946262"
"You Know It","Colony House","You Know It","favs","Playlist","QMTAA1600045","127246803"
"Worn / Wander","Vundabar","Gawk","favs","Playlist","USDY41567489","1594718441"
"80's Comedown Machine","The Strokes","Comedown Machine","favs","Playlist","USRC11300079","65440513"
"Weight","redveil","Niagara","favs","Playlist","QZK6N2055185","1048581112"
"Stars","JID","The Forever Story (Extended Version)","favs","Playlist","USUM72214827","1993227427"
"ALIVE","Hanni El Khatib","FLIGHT","favs","Playlist","USD8D2065003","871815802"
"Social Cues","Cage The Elephant","Social Cues","favs","Playlist","USRC11803824","662091322"
"if god didnt want us to snort worms he wouldn't have made them cylindrical!","MIMIDEATH","effective. Power","favs","Playlist","QZFZ62072245","1536095312"
"On Melancholy Hill","Gorillaz","Plastic Beach","favs","Playlist","GBAYE1000010","5490699"
"At Ends","Marzuku","Colliding Stars","favs","Playlist","SE62M2221317","1990303857"
"Pleaser","Wallows","Singles Collection 2017-2020","favs","Playlist","USAT21801170","2021523437"
"She Stole My Heart","Ark Woods","Hell and HI Water 2","favs","Playlist","QMR481900004","654146962"
"Welcome to Paradise","Green Day","Dookie","favs","Playlist","USRE19900149","678040"
"vampire","Olivia Rodrigo","GUTS","favs","Playlist","USUG12304091","2440763155"
